SalesKey,OrderDate,OrderNumber,OrderLineItem,ProductKey,CustomerKey,TerritoryKey,OrderQuantity
SO45410-1,2015-02-11,SO45410,1,310,14149,8,1
SO45416-1,2015-02-11,SO45416,1,310,28161,6,1
SO45411-1,2015-02-11,SO45411,1,313,28197,6,1
SO45414-1,2015-02-11,SO45414,1,330,18038,7,1
SO45413-1,2015-02-11,SO45413,1,312,11191,4,1
SO45418-1,2015-02-11,SO45418,1,311,19264,9,1
SO45421-1,2015-02-11,SO45421,1,313,19576,9,1
SO45415-1,2015-02-11,SO45415,1,312,28092,6,1
SO45420-1,2015-02-11,SO45420,1,313,19561,9,1
SO45424-1,2015-02-12,SO45424,1,311,28165,6,1
SO45423-1,2015-02-12,SO45423,1,348,19997,6,1
SO45422-1,2015-02-12,SO45422,1,310,28198,6,1
SO45428-1,2015-02-13,SO45428,1,346,11414,10,1
SO45427-1,2015-02-13,SO45427,1,349,29481,8,1
SO45425-1,2015-02-13,SO45425,1,310,15056,10,1
SO45431-1,2015-02-13,SO45431,1,311,28013,6,1
SO45429-1,2015-02-13,SO45429,1,310,28129,6,1
SO45430-1,2015-02-13,SO45430,1,312,28176,6,1
SO45433-1,2015-02-14,SO45433,1,310,12547,7,1
SO45439-1,2015-02-14,SO45439,1,326,25823,9,1
SO45435-1,2015-02-14,SO45435,1,336,20562,10,1
SO45436-1,2015-02-14,SO45436,1,312,28130,6,1
SO45437-1,2015-02-14,SO45437,1,312,28169,6,1
SO45434-1,2015-02-14,SO45434,1,311,11252,4,1
SO45438-1,2015-02-14,SO45438,1,310,29334,1,1
SO45432-1,2015-02-14,SO45432,1,312,14167,8,1
SO45444-1,2015-02-15,SO45444,1,310,19102,9,1
SO45440-1,2015-02-15,SO45440,1,312,14198,8,1
SO45441-1,2015-02-15,SO45441,1,312,11216,1,1
SO45443-1,2015-02-15,SO45443,1,313,29350,4,1
SO45442-1,2015-02-15,SO45442,1,314,29335,1,1
SO45445-1,2015-02-15,SO45445,1,310,19105,9,1
SO45447-1,2015-02-16,SO45447,1,313,19558,9,1
SO45446-1,2015-02-16,SO45446,1,345,25990,1,1
SO45448-1,2015-02-16,SO45448,1,324,25718,9,1
SO45450-1,2015-02-17,SO45450,1,312,28624,6,1
SO45452-1,2015-02-17,SO45452,1,314,19559,9,1
SO45451-1,2015-02-17,SO45451,1,311,29279,4,1
SO45449-1,2015-02-17,SO45449,1,310,14189,8,1
SO45453-1,2015-02-18,SO45453,1,311,12549,7,1
SO45454-1,2015-02-18,SO45454,1,312,23074,6,1
SO45458-1,2015-02-19,SO45458,1,311,19599,9,1
SO45459-1,2015-02-19,SO45459,1,310,19605,9,1
SO45457-1,2015-02-19,SO45457,1,313,27752,6,1
SO45455-1,2015-02-19,SO45455,1,310,14163,8,1
SO45456-1,2015-02-19,SO45456,1,312,23113,6,1
SO45461-1,2015-02-20,SO45461,1,311,28646,6,1
SO45464-1,2015-02-20,SO45464,1,314,19586,9,1
SO45465-1,2015-02-20,SO45465,1,342,25819,9,1
SO45462-1,2015-02-20,SO45462,1,310,28647,6,1
SO45463-1,2015-02-20,SO45463,1,312,11171,4,1
SO45466-1,2015-02-21,SO45466,1,311,19611,9,1
SO45475-1,2015-02-22,SO45475,1,313,19601,9,1
SO45470-1,2015-02-22,SO45470,1,312,28177,6,1
SO45474-1,2015-02-22,SO45474,1,310,19595,9,1
SO45467-1,2015-02-22,SO45467,1,345,11422,10,1
SO45471-1,2015-02-22,SO45471,1,313,29280,1,1
SO45469-1,2015-02-22,SO45469,1,350,19989,6,1
SO45468-1,2015-02-22,SO45468,1,311,23164,6,1
SO45472-1,2015-02-22,SO45472,1,313,19095,9,1
SO45473-1,2015-02-22,SO45473,1,310,19592,9,1
SO45476-1,2015-02-22,SO45476,1,314,19614,9,1
SO45477-1,2015-02-23,SO45477,1,313,14160,8,1
SO45478-1,2015-02-23,SO45478,1,313,29354,1,1
SO45480-1,2015-02-23,SO45480,1,313,19564,9,1
SO45481-1,2015-02-23,SO45481,1,313,19563,9,1
SO45479-1,2015-02-23,SO45479,1,313,19099,9,1
SO45483-1,2015-02-24,SO45483,1,314,14181,8,1
SO45482-1,2015-02-24,SO45482,1,310,12522,7,1
SO45486-1,2015-02-24,SO45486,1,324,14737,1,1
SO45490-1,2015-02-24,SO45490,1,313,22976,6,1
SO45485-1,2015-02-24,SO45485,1,312,11257,4,1
SO45484-1,2015-02-24,SO45484,1,313,23267,6,1
SO45488-1,2015-02-24,SO45488,1,311,19577,9,1
SO45487-1,2015-02-24,SO45487,1,313,19556,9,1
SO45489-1,2015-02-24,SO45489,1,310,19602,9,1
SO45492-1,2015-02-25,SO45492,1,330,19429,8,1
SO45491-1,2015-02-25,SO45491,1,311,27672,6,1
SO45494-1,2015-02-25,SO45494,1,310,19609,9,1
SO45495-1,2015-02-25,SO45495,1,342,25821,9,1
SO45493-1,2015-02-25,SO45493,1,320,14731,4,1
SO45499-1,2015-02-26,SO45499,1,314,28626,6,1
SO45505-1,2015-02-26,SO45505,1,313,19593,9,1
SO45506-1,2015-02-26,SO45506,1,311,19615,9,1
SO45501-1,2015-02-26,SO45501,1,350,25993,1,1
SO45497-1,2015-02-26,SO45497,1,311,28354,6,1
SO45503-1,2015-02-26,SO45503,1,314,22995,6,1
SO45504-1,2015-02-26,SO45504,1,340,14730,4,1
SO45498-1,2015-02-26,SO45498,1,312,28574,6,1
SO45496-1,2015-02-26,SO45496,1,314,29340,6,1
SO45507-1,2015-02-26,SO45507,1,314,19616,9,1
SO45502-1,2015-02-26,SO45502,1,314,28173,6,1
SO45510-1,2015-02-27,SO45510,1,310,22998,6,1
SO45508-1,2015-02-27,SO45508,1,310,12510,7,1
SO45509-1,2015-02-27,SO45509,1,310,14148,8,1
SO45515-1,2015-02-28,SO45515,1,310,19557,9,1
SO45513-1,2015-02-28,SO45513,1,348,25996,4,1
SO45512-1,2015-02-28,SO45512,1,312,11175,4,1
SO45511-1,2015-02-28,SO45511,1,311,12523,7,1
SO45514-1,2015-02-28,SO45514,1,314,28051,6,1
SO45580-1,2015-03-01,SO45580,1,310,14428,8,1
SO45585-1,2015-03-01,SO45585,1,351,11905,9,1
SO45583-1,2015-03-01,SO45583,1,311,11274,1,1
SO45582-1,2015-03-01,SO45582,1,312,28656,6,1
SO45584-1,2015-03-01,SO45584,1,336,25828,9,1
SO45581-1,2015-03-01,SO45581,1,313,11263,1,1
SO45589-1,2015-03-02,SO45589,1,314,19784,9,1
SO45588-1,2015-03-02,SO45588,1,313,11275,4,1
SO45586-1,2015-03-02,SO45586,1,311,12613,7,1
SO45587-1,2015-03-02,SO45587,1,310,11531,4,1
SO45592-1,2015-03-02,SO45592,1,345,11897,9,1
SO45590-1,2015-03-02,SO45590,1,311,19763,9,1
SO45591-1,2015-03-02,SO45591,1,326,25831,9,1
SO45594-1,2015-03-03,SO45594,1,312,11282,1,1
SO45599-1,2015-03-03,SO45599,1,312,19794,9,1
SO45598-1,2015-03-03,SO45598,1,340,14744,1,1
SO45600-1,2015-03-03,SO45600,1,313,19628,9,1
SO45596-1,2015-03-03,SO45596,1,332,20564,10,1
SO45593-1,2015-03-03,SO45593,1,310,15118,10,1
SO45601-1,2015-03-03,SO45601,1,348,11893,9,1
SO45595-1,2015-03-03,SO45595,1,314,11515,4,1
SO45605-1,2015-03-04,SO45605,1,311,11626,4,1
SO45606-1,2015-03-04,SO45606,1,312,19967,9,1
SO45608-1,2015-03-04,SO45608,1,349,11896,9,1
SO45603-1,2015-03-04,SO45603,1,312,11296,1,1
SO45607-1,2015-03-04,SO45607,1,330,25830,9,1
SO45609-1,2015-03-04,SO45609,1,311,14774,8,1
SO45602-1,2015-03-04,SO45602,1,312,12607,7,1
SO45604-1,2015-03-04,SO45604,1,314,11317,1,1
SO45612-1,2015-03-05,SO45612,1,312,14795,8,1
SO45611-1,2015-03-05,SO45611,1,310,11535,1,1
SO45610-1,2015-03-05,SO45610,1,310,11303,1,1
SO45616-1,2015-03-06,SO45616,1,314,14800,8,1
SO45619-1,2015-03-06,SO45619,1,311,19787,9,1
SO45613-1,2015-03-06,SO45613,1,314,11522,1,1
SO45621-1,2015-03-06,SO45621,1,346,11768,9,1
SO45617-1,2015-03-06,SO45617,1,311,15354,10,1
SO45618-1,2015-03-06,SO45618,1,311,12618,7,1
SO45615-1,2015-03-06,SO45615,1,342,18137,7,1
SO45614-1,2015-03-06,SO45614,1,312,23385,6,1
SO45620-1,2015-03-06,SO45620,1,314,19951,9,1
SO45630-1,2015-03-07,SO45630,1,351,11899,9,1
SO45628-1,2015-03-07,SO45628,1,314,19795,9,1
SO45625-1,2015-03-07,SO45625,1,314,11307,4,1
SO45624-1,2015-03-07,SO45624,1,313,11291,4,1
SO45623-1,2015-03-07,SO45623,1,311,14769,8,1
SO45629-1,2015-03-07,SO45629,1,347,11892,9,1
SO45627-1,2015-03-07,SO45627,1,324,18039,7,1
SO45622-1,2015-03-07,SO45622,1,344,28470,7,1
SO45626-1,2015-03-07,SO45626,1,310,11259,1,1
SO45632-1,2015-03-08,SO45632,1,314,14775,8,1
SO45631-1,2015-03-08,SO45631,1,350,11237,8,1
SO45633-1,2015-03-08,SO45633,1,351,26011,4,1
SO45634-1,2015-03-08,SO45634,1,314,19766,9,1
SO45637-1,2015-03-09,SO45637,1,314,11525,1,1
SO45638-1,2015-03-09,SO45638,1,324,14746,4,1
SO45639-1,2015-03-09,SO45639,1,311,19782,9,1
SO45640-1,2015-03-09,SO45640,1,311,19964,9,1
SO45635-1,2015-03-09,SO45635,1,313,23351,6,1
SO45636-1,2015-03-09,SO45636,1,311,11302,1,1
SO45642-1,2015-03-10,SO45642,1,313,11623,4,1
SO45641-1,2015-03-10,SO45641,1,311,23306,6,1
SO45645-1,2015-03-11,SO45645,1,351,11482,10,1
SO45644-1,2015-03-11,SO45644,1,350,28458,7,1
SO45643-1,2015-03-11,SO45643,1,310,14541,8,1
SO45647-1,2015-03-11,SO45647,1,347,25997,4,1
SO45646-1,2015-03-11,SO45646,1,312,11289,4,1
SO45648-1,2015-03-11,SO45648,1,312,19791,9,1
SO45649-1,2015-03-12,SO45649,1,310,11319,4,1
SO45653-1,2015-03-12,SO45653,1,347,11764,9,1
SO45650-1,2015-03-12,SO45650,1,312,28652,6,1
SO45652-1,2015-03-12,SO45652,1,334,25826,9,1
SO45651-1,2015-03-12,SO45651,1,311,19771,9,1
SO45660-1,2015-03-13,SO45660,1,312,19797,9,1
SO45659-1,2015-03-13,SO45659,1,349,26003,4,1
SO45662-1,2015-03-13,SO45662,1,350,11906,9,1
SO45655-1,2015-03-13,SO45655,1,312,11323,4,1
SO45661-1,2015-03-13,SO45661,1,342,25827,9,1
SO45654-1,2015-03-13,SO45654,1,348,28478,7,1
SO45658-1,2015-03-13,SO45658,1,312,11270,4,1
SO45656-1,2015-03-13,SO45656,1,313,11617,4,1
SO45663-1,2015-03-13,SO45663,1,347,11901,9,1
SO45657-1,2015-03-13,SO45657,1,311,11266,1,1
SO45665-1,2015-03-14,SO45665,1,346,26004,4,1
SO45667-1,2015-03-14,SO45667,1,314,19957,9,1
SO45666-1,2015-03-14,SO45666,1,326,14738,4,1
SO45664-1,2015-03-14,SO45664,1,312,14713,8,1
SO45670-1,2015-03-15,SO45670,1,310,11541,1,1
SO45673-1,2015-03-15,SO45673,1,312,19790,9,1
SO45677-1,2015-03-15,SO45677,1,348,11895,9,1
SO45669-1,2015-03-15,SO45669,1,314,11528,4,1
SO45668-1,2015-03-15,SO45668,1,312,11298,4,1
SO45674-1,2015-03-15,SO45674,1,314,19948,9,1
SO45676-1,2015-03-15,SO45676,1,349,11765,9,1
SO45671-1,2015-03-15,SO45671,1,312,11628,4,1
SO45672-1,2015-03-15,SO45672,1,340,19438,8,1
SO45675-1,2015-03-15,SO45675,1,340,25829,9,1
SO45679-1,2015-03-16,SO45679,1,314,11540,4,1
SO45681-1,2015-03-16,SO45681,1,314,19789,9,1
SO45680-1,2015-03-16,SO45680,1,310,23283,6,1
SO45678-1,2015-03-16,SO45678,1,313,11281,4,1
SO45682-1,2015-03-16,SO45682,1,312,19950,9,1
SO45685-1,2015-03-17,SO45685,1,322,18132,7,1
SO45691-1,2015-03-17,SO45691,1,344,11898,9,1
SO45684-1,2015-03-17,SO45684,1,345,11485,10,1
SO45687-1,2015-03-17,SO45687,1,344,26005,1,1
SO45688-1,2015-03-17,SO45688,1,320,14741,4,1
SO45690-1,2015-03-17,SO45690,1,310,19958,9,1
SO45683-1,2015-03-17,SO45683,1,311,14709,8,1
SO45686-1,2015-03-17,SO45686,1,346,25998,1,1
SO45689-1,2015-03-17,SO45689,1,312,19773,9,1
SO45698-1,2015-03-18,SO45698,1,326,14747,4,1
SO45699-1,2015-03-18,SO45699,1,336,14750,4,1
